TotalPartsSold,TotalPrice,Date
28,545.52,3/19/2021
22,856.19,3/20/2021
23,508.47,3/22/2021
10,175.9,3/23/2021
18,177.98,3/24/2021
41,548.09,3/26/2021
19,468.81,3/27/2021
10,360.9,3/29/2021
31,472.59,3/30/2021
25,374.55,3/31/2021
18,657.82,4/1/2021
36,544.45,4/5/2021
33,497.68,4/6/2021
19,278.81,4/7/2021
15,305.85,4/8/2021
13,198.87,4/9/2021
19,423.81,4/10/2021
32,676.44,4/12/2021
19,342.32,4/14/2021
18,642.33,4/15/2021
17,368.83,4/16/2021
28,368.94,4/17/2021
26,778.24,4/19/2021
41,679.11,4/20/2021
19,257.02,4/21/2021
48,614.54,4/22/2021
11,364.89,4/23/2021
18,294.83,4/24/2021
18,268.32,4/26/2021
17,472.83,4/27/2021
30,720.71,4/28/2021
25,425.76,4/29/2021
7,136.93,4/30/2021
11,191.4,5/1/2021
35,709.67,5/3/2021
22,283.98,5/4/2021
27,653.73,5/5/2021
32,819.68,5/6/2021
32,520.68,5/7/2021
27,558.73,5/8/2021
31,557.19,5/10/2021
33,771.67,5/11/2021
45,767.55,5/12/2021
54,825.28,5/13/2021
39,1144.61,5/14/2021
25,833.75,5/15/2021
38,763.15,5/17/2021
22,514.79,5/18/2021
20,477.8,5/19/2021
36,722.14,5/20/2021
47,1002.04,5/21/2021
22,527.3,5/22/2021
6,100.94,5/24/2021
27,490.24,5/25/2021
21,297.79,5/26/2021
29,642.74,5/27/2021
15,411.85,5/28/2021
8,280.92,5/29/2021
51,895,6/1/2021
35,813.95,6/2/2021
31,847.69,6/4/2021
10,437.71,6/5/2021
42,820.38,6/7/2021
25,691.25,6/8/2021
27,468.73,6/9/2021
24,681.76,6/10/2021
48,797.12,6/11/2021
38,961.82,6/12/2021
31,470.17,6/14/2021
25,551.75,6/15/2021
23,415.27,6/16/2021
27,906.73,6/17/2021
41,1251.99,6/18/2021
57,1341.44,6/19/2021
55,838.66,6/21/2021
28,729.72,6/22/2021
46,1006.74,6/23/2021
40,766.8,6/24/2021
5,378.95,6/25/2021
9,120.91,6/26/2021
34,414.86,6/28/2021
42,652.83,6/29/2021
38,1196.47,6/30/2021
35,629.55,7/1/2021
41,748.11,7/2/2021
33,650.83,7/3/2021
34,665.36,7/5/2021
38,766.62,7/6/2021
36,502.14,7/7/2021
47,757.74,7/8/2021
20,327.81,7/9/2021
34,712.66,7/10/2021
34,914.86,7/12/2021
35,779.55,7/13/2021
16,206.84,7/14/2021
21,359.79,7/15/2021
30,379.62,7/16/2021
38,704.42,7/17/2021
27,694.13,7/19/2021
44,694.56,7/20/2021
48,1029.12,7/21/2021
34,901.66,7/22/2021
41,579.76,7/23/2021
31,866.69,7/24/2021
67,1425.33,7/26/2021
28,290.03,7/27/2021
30,1044.7,7/28/2021
57,976.43,7/29/2021
19,541.81,7/30/2021
59,920.08,7/31/2021
61,1346.5,8/2/2021
40,671.63,8/3/2021
32,692.68,8/4/2021
48,822.24,8/5/2021
38,709.07,8/6/2021
32,951.69,8/7/2021
47,872.93,8/9/2021
36,615.65,8/10/2021
51,895.7,8/11/2021
45,1019.55,8/12/2021
38,613.13,8/13/2021
31,528.9,8/14/2021
61,1030.41,8/16/2021
22,343.79,8/17/2021
41,662.79,8/18/2021
23,681.78,8/19/2021
50,862.2,8/20/2021
30,470.2,8/21/2021
63,1226.58,8/23/2021
38,706.52,8/24/2021
36,969.64,8/25/2021
45,797.55,8/26/2021
56,1004.89,8/27/2021
19,421.81,8/28/2021
61,1245.42,8/30/2021
52,1154.5,8/31/2021
58,1090.78,9/1/2021
30,744.7,9/2/2021
24,622.96,9/3/2021
30,398.5,9/4/2021
58,1140.98,9/7/2021
55,1088.86,9/8/2021
44,998.57,9/9/2021
45,710.57,9/10/2021
49,691.13,9/11/2021
36,604.14,9/13/2021
16,227.84,9/14/2021
48,837.52,9/15/2021
45,643.98,9/16/2021
48,994.12,9/17/2021
58,1371.42,9/18/2021
26,497.74,9/20/2021
51,1272.31,9/21/2021
63,1171.4,9/22/2021
38,572.82,9/23/2021
70,1451.3,9/24/2021
49,830.53,9/25/2021
55,1260.81,9/27/2021
47,858.43,9/28/2021
49,942.12,9/29/2021
39,765.27,9/30/2021
24,444.27,10/1/2021
37,830.24,10/2/2021
56,1289.44,10/4/2021
47,1080.93,10/5/2021
46,1108.05,10/6/2021
36,921.89,10/7/2021
57,1737.43,10/8/2021
20,556.8,10/9/2021
53,911.1,10/11/2021
41,641.19,10/12/2021
50,717.74,10/13/2021
33,606.68,10/14/2021
46,905.57,10/15/2021
44,930.57,10/16/2021
62,1200.78,10/18/2021
49,1127.91,10/19/2021
76,1476.46,10/20/2021
45,938.55,10/21/2021
50,997.52,10/22/2021
28,752.92,10/23/2021
57,1361.43,10/25/2021
44,872.08,10/26/2021
36,598.74,10/27/2021
47,747.94,10/28/2021
63,1666.41,10/29/2021
75,1646.97,10/30/2021
61,1294.64,11/1/2021
50,1144.21,11/2/2021
43,839.97,11/3/2021
32,662.68,11/4/2021
71,1321.59,11/5/2021
48,1151.92,11/6/2021
76,1481.47,11/8/2021
88,1451.34,11/9/2021
77,1636.61,11/10/2021
47,1221.44,11/11/2021
76,1526.57,11/12/2021
65,1353.53,11/13/2021
45,857.06,11/15/2021
97,1670.25,11/16/2021
57,1090.94,11/17/2021
52,995.51,11/18/2021
97,1694.24,11/19/2021
44,777.48,11/20/2021
73,1575.09,11/22/2021
71,1390,11/23/2021
112,2409.14,11/24/2021
40,829.22,11/26/2021
37,665.45,11/27/2021
57,1124.65,11/29/2021
52,1101.88,11/30/2021
68,1000.94,12/1/2021
64,1267.17,12/2/2021
58,1377.64,12/3/2021
61,1060.52,12/4/2021
79,946.38,12/6/2021
42,965.89,12/7/2021
51,1207.85,12/8/2021
55,1327.62,12/9/2021
54,923.49,12/10/2021
41,1244.8,12/11/2021
74,2004.47,12/13/2021
72,1374.76,12/14/2021
72,1462.09,12/15/2021
42,1084.18,12/16/2021
56,1651.34,12/17/2021
34,1006.18,12/18/2021
71,1402.81,12/20/2021
42,1171.62,12/21/2021
39,1193.53,12/22/2021
50,874.9,12/23/2021
21,254,12/24/2021
57,991.96,12/27/2021
78,1809.85,12/28/2021
60,1572.97,12/29/2021
65,2054.75,12/30/2021
77,1388.53,1/3/2022
75,1670.44,1/4/2022
47,773.84,1/5/2022
74,1299.96,1/6/2022
80,1926.52,1/7/2022
25,810.77,1/8/2022
53,1250.48,1/10/2022
59,1002.36,1/11/2022
72,1319.9,1/12/2022
53,853.32,1/13/2022
92,1618.7,1/14/2022
38,570.82,1/15/2022
52,881.04,1/17/2022
67,1214.53,1/18/2022
71,1493.72,1/19/2022
35,684.68,1/20/2022
56,1339.76,1/21/2022
50,791.64,1/22/2022
33,686.68,1/24/2022
62,1463.46,1/25/2022
79,1470.43,1/26/2022
62,1450.77,1/27/2022
86,2247.47,1/28/2022
48,1411.33,1/29/2022
50,975.74,1/31/2022
70,1446.08,2/1/2022
83,1771.92,2/2/2022
30,513.75,2/3/2022
23,330.38,2/4/2022
72,1103.77,2/5/2022
102,1818.13,2/7/2022
95,1479.15,2/8/2022
60,1793.58,2/9/2022
68,1209.47,2/10/2022
67,1168.18,2/11/2022
48,863.76,2/12/2022
54,672.31,2/14/2022
76,1227.56,2/15/2022
42,707.06,2/16/2022
66,2293.06,2/17/2022
86,2765.21,2/18/2022
81,1321.19,2/19/2022
77,1270.33,2/21/2022
86,1240.84,2/22/2022
59,642.97,2/23/2022
88,1488.71,2/28/2022
97,1941.2,3/1/2022
61,966.57,3/2/2022
109,1648.66,3/3/2022
93,1507.49,3/4/2022
74,1021.86,3/5/2022
42,684.11,3/7/2022
60,913.84,3/8/2022
46,671.86,3/9/2022
74,1158.18,3/10/2022
73,1371.8,3/11/2022
61,1098.87,3/12/2022
71,1411.07,3/14/2022
44,469.15,3/15/2022
71,1427.43,3/16/2022
68,1642.9,3/17/2022
94,1481.18,3/18/2022
48,1316.02,3/19/2022
43,625.29,3/21/2022
74,1101.97,3/22/2022
93,2129.21,3/23/2022
96,1576.6,3/24/2022
78,1270.68,3/25/2022
66,1171.08,3/26/2022
114,2237.96,3/28/2022
92,1395.31,3/29/2022
63,912.27,3/30/2022
71,1452.18,3/31/2022
78,1359.46,4/1/2022
57,1243.93,4/2/2022
77,1238.26,4/4/2022
79,1194.19,4/5/2022
60,1244.78,4/6/2022
96,1668.11,4/7/2022
91,1510.8,4/8/2022
59,1028.89,4/9/2022
65,1368.51,4/11/2022
93,1947.47,4/12/2022
52,689.48,4/13/2022
71,1227.37,4/14/2022
48,778.44,4/15/2022
41,485.57,4/16/2022
77,901.58,4/18/2022
74,1032.09,4/19/2022
63,740.53,4/20/2022
87,1806.41,4/21/2022
72,1581.1,4/22/2022
61,891,4/23/2022
69,1166.54,4/25/2022
66,1284.46,4/26/2022
79,1627.72,4/27/2022
55,1188.17,4/28/2022
66,1137.17,4/29/2022
74,1196.34,4/30/2022
82,1406.46,5/2/2022
108,2553.77,5/3/2022
96,1630.45,5/4/2022
64,1238.23,5/5/2022
76,1056.93,5/6/2022
44,690.06,5/7/2022
47,801.5,5/9/2022
60,1088.52,5/10/2022
72,980.1,5/11/2022
50,651.93,5/12/2022
66,1506.19,5/13/2022
50,760.5,5/14/2022
75,1178.62,5/16/2022
63,1614.44,5/17/2022
49,1033.35,5/18/2022
50,1417.31,5/19/2022
77,1323.07,5/20/2022
61,1300.52,5/21/2022
60,845.03,5/23/2022
50,611.32,5/24/2022
72,967.12,5/25/2022
52,1060.08,5/26/2022
78,1782.23,5/27/2022
51,1030.9,5/28/2022
83,1483.02,5/31/2022
71,1035.85,6/1/2022
71,911.6,6/2/2022
65,916.97,6/3/2022
51,670.57,6/4/2022
77,1190.52,6/6/2022
57,1155.25,6/7/2022
95,1508.41,6/8/2022
55,822.28,6/9/2022
63,1051.31,6/10/2022
47,614.96,6/11/2022
68,1069.44,6/13/2022
53,1018.66,6/14/2022
81,1299.73,6/15/2022
75,946.88,6/16/2022
92,2071.09,6/17/2022
50,789.46,6/18/2022
64,1410.26,6/20/2022
53,814.75,6/21/2022
70,1242.04,6/22/2022
83,1667.01,6/23/2022
63,977.79,6/24/2022
45,816.59,6/25/2022
65,936.5,6/27/2022
79,1036.74,6/28/2022
59,1011.07,6/29/2022
79,1424.6,6/30/2022
50,703.23,7/1/2022
73,1161.33,7/5/2022
62,937.37,7/6/2022
74,1165.73,7/7/2022
51,552.97,7/8/2022
71,1028.95,7/9/2022
65,1166.16,7/11/2022
57,861.96,7/12/2022
72,1059.99,7/13/2022
77,1586.67,7/14/2022
82,1675.62,7/15/2022
47,747.41,7/16/2022
55,1569.56,7/18/2022
51,1190.48,7/19/2022
46,1017.74,7/20/2022
52,617.74,7/21/2022
52,1123.42,7/22/2022
54,977.2,7/23/2022
61,866.53,7/25/2022
84,1566.59,7/26/2022
58,895.92,7/27/2022
62,1238.03,7/28/2022
70,1269.31,7/29/2022
43,932.44,7/30/2022
81,1215.78,8/1/2022
57,787.74,8/2/2022
61,1161.46,8/3/2022
65,894.92,8/4/2022
66,907.44,8/5/2022
52,852.05,8/6/2022
101,2143.81,8/8/2022
68,845.82,8/9/2022
60,1350.3,8/10/2022
74,1295.58,8/11/2022
88,1802.41,8/12/2022
83,1313.12,8/13/2022
58,1183.32,8/15/2022
71,1312.75,8/16/2022
45,861.04,8/17/2022
73,1089.08,8/18/2022
38,591.78,8/19/2022
72,1372.53,8/20/2022
92,1450.55,8/22/2022
95,1617.8,8/23/2022
71,1580.9,8/24/2022
58,887.83,8/25/2022
80,1406.73,8/26/2022
34,644.66,8/27/2022
76,1026.45,8/29/2022
60,1429.56,8/30/2022
87,1369.28,8/31/2022
85,1987.33,9/1/2022
66,1269.28,9/2/2022
54,834.95,9/3/2022
94,1703.16,9/6/2022
61,917.67,9/7/2022
72,1111.32,9/8/2022
82,1058.99,9/9/2022
71,1981.75,9/10/2022
90,1974.13,9/12/2022
90,1621.57,9/13/2022
72,1877.08,9/14/2022
100,1551.38,9/15/2022
93,1839.65,9/16/2022
81,1321.51,9/17/2022
78,1079.49,9/19/2022
65,1303.15,9/20/2022
48,893.67,9/21/2022
99,1960.86,9/22/2022
78,1558.45,9/23/2022
61,1143.45,9/24/2022
78,1803.2,9/26/2022
94,1655.98,9/27/2022
96,1609.16,9/28/2022
46,718.77,9/29/2022
56,1435.95,9/30/2022
70,1654.12,10/1/2022
90,2197.2,10/3/2022
99,1789.18,10/4/2022
98,1662.33,10/5/2022
84,1983.09,10/6/2022
104,2010.53,10/7/2022
59,1033.05,10/8/2022
101,2066.27,10/10/2022
73,1583.62,10/11/2022
88,2462.37,10/12/2022
94,1867.32,10/13/2022
71,1319.65,10/14/2022
70,1792.23,10/15/2022
73,1666.71,10/17/2022
94,1226.7,10/18/2022
97,1986.07,10/19/2022
89,1859.92,10/20/2022
92,1524.36,10/21/2022
67,967.55,10/22/2022
117,2763.52,10/24/2022
68,1328.75,10/25/2022
135,2982.94,10/26/2022
65,1163.79,10/27/2022
64,1197.77,10/28/2022
77,1222,10/29/2022
114,1532.4,10/31/2022
43,979.87,11/1/2022
75,2225.25,11/2/2022
62,1222.53,11/3/2022
74,886.1,11/4/2022
57,721.65,11/5/2022
133,2877.91,11/7/2022
77,1568.89,11/8/2022
104,3352.05,11/9/2022
73,1423.38,11/10/2022
67,2389.79,11/11/2022
47,1051.06,11/12/2022
55,2311.73,11/14/2022
69,1421.2,11/15/2022
83,1298.84,11/16/2022
119,2286.57,11/17/2022
100,2220.77,11/18/2022
15,836.86,11/19/2022
38,839.36,11/21/2022
94,1844.44,11/22/2022
86,2150.77,11/23/2022
88,1382.55,11/25/2022
25,340.53,11/26/2022
89,1711.06,11/28/2022
92,1510.34,11/29/2022
89,2464.52,11/30/2022
73,1636.48,12/1/2022
91,1699.62,12/2/2022
41,824.49,12/3/2022
101,1784.58,12/5/2022
83,1633.6,12/6/2022
62,1237.01,12/7/2022
102,1767.62,12/8/2022
91,2166.62,12/9/2022
77,1341.38,12/10/2022
80,1253.46,12/12/2022
87,1449.21,12/13/2022
70,1609.09,12/14/2022
69,1225.32,12/15/2022
112,2574.89,12/16/2022
54,565.08,12/17/2022
55,1380.53,12/19/2022
69,1373.77,12/20/2022
53,996.37,12/21/2022
76,1107.16,12/22/2022
9,80.61,12/23/2022
93,1842.52,12/27/2022
80,1266.62,12/28/2022
49,739.24,12/29/2022
98,1438.45,12/30/2022
88,1268.37,1/3/2023
77,1035.88,1/4/2023
109,1876.07,1/5/2023
118,1695.79,1/6/2023
64,1103.83,1/7/2023
115,3108.5,1/9/2023
71,1409.04,1/10/2023
91,1574.92,1/11/2023
68,1282.05,1/12/2023
85,1558.21,1/13/2023
55,1266.07,1/14/2023
100,2096.66,1/16/2023
79,1071.08,1/17/2023
82,1372.99,1/18/2023
112,1902.95,1/19/2023
70,1049.27,1/20/2023
41,1006.69,1/21/2023
106,2423.83,1/23/2023
34,459.89,1/24/2023
107,2222.39,1/25/2023
105,1652.44,1/26/2023
83,1179.95,1/27/2023
49,853.68,1/28/2023
82,2363.18,1/30/2023
62,1073.07,1/31/2023
42,658.64,2/1/2023
38,769.23,2/2/2023
97,2007.95,2/3/2023
74,828.03,2/4/2023
106,3141.56,2/6/2023
95,1841.95,2/7/2023
93,1622.43,2/8/2023
130,1777.41,2/9/2023
109,1562.54,2/10/2023
102,1897.07,2/11/2023
116,2271.95,2/13/2023
87,1629.18,2/14/2023
71,996.3,2/15/2023
102,2189.19,2/16/2023
109,2549.78,2/17/2023
76,1729.48,2/18/2023
98,1352.93,2/20/2023
118,2329.42,2/21/2023
76,1161.81,2/22/2023
121,2373.12,2/23/2023
102,1491.14,2/24/2023
62,768.7,2/25/2023
112,2951.71,2/27/2023
65,897.11,2/28/2023
142,1922.64,3/1/2023
89,2436.21,3/2/2023
114,1951.74,3/3/2023
64,1820.53,3/4/2023
118,2784.28,3/6/2023
128,2514.21,3/7/2023
113,2371.62,3/8/2023
120,2123.09,3/9/2023
128,2631.74,3/10/2023
110,1653.13,3/11/2023
150,2790.66,3/13/2023
142,3650.4,3/14/2023
78,1349.11,3/15/2023
100,3103.42,3/16/2023
80,1381.59,3/17/2023
68,1739.01,3/18/2023
117,2615.63,3/20/2023
143,3185.2,3/21/2023
102,2732.61,3/22/2023
90,1703.77,3/23/2023
143,3204.19,3/24/2023
87,1791.29,3/25/2023
130,1965.68,3/27/2023
116,2102.5,3/28/2023
108,2013.57,3/29/2023
118,2194.69,3/30/2023
118,2108.52,3/31/2023
91,1894.88,4/1/2023
113,2442.53,4/3/2023
119,1920.27,4/4/2023
89,1416.71,4/5/2023
98,1840.6,4/6/2023
80,1264.73,4/7/2023
115,1993.47,4/10/2023
133,2938.13,4/11/2023
131,2702.11,4/12/2023
114,2051.27,4/13/2023
118,2373.85,4/14/2023
90,1037.4,4/15/2023
132,2841.32,4/17/2023
109,2331.23,4/18/2023
144,3067.97,4/19/2023
131,2811.03,4/20/2023
147,2415.53,4/21/2023
107,2505.46,4/22/2023
102,2111.55,4/24/2023
77,1893.27,4/25/2023
97,1841.56,4/26/2023
120,1747.68,4/27/2023
101,1828.11,4/28/2023
86,1501.23,4/29/2023
144,3167.93,5/1/2023
128,2902.81,5/2/2023
147,3479.44,5/3/2023
180,2210.31,5/4/2023
87,1828.67,5/5/2023
125,2111.57,5/6/2023
114,2410.87,5/8/2023
57,919.03,5/9/2023
47,884.7,5/10/2023
92,1403.88,5/11/2023
130,2727.94,5/12/2023
87,1147.27,5/13/2023
83,1100.71,5/15/2023
128,1739.68,5/16/2023
119,2158.42,5/17/2023
140,2769.71,5/18/2023
92,1453.35,5/19/2023
105,1914.63,5/20/2023
139,2444.48,5/22/2023
122,2338.52,5/23/2023
118,1912.25,5/24/2023
143,1993.91,5/25/2023
98,1603.15,5/26/2023
103,1611.5,5/27/2023
121,1550.61,5/30/2023
105,1933.73,5/31/2023
129,1970.59,6/1/2023
121,2020.52,6/2/2023
76,1591.6,6/3/2023
120,2254.41,6/5/2023
139,3128.86,6/6/2023
81,1303.51,6/7/2023
100,2184.28,6/8/2023
122,2467.39,6/9/2023
67,1171.96,6/10/2023
91,1526.1,6/12/2023
83,1623.2,6/13/2023
88,1729.69,6/14/2023
88,2613.39,6/15/2023
101,1648.35,6/16/2023
66,938.28,6/17/2023
136,2787.19,6/19/2023
110,2290.41,6/20/2023
96,2343.71,6/21/2023
90,1469.47,6/22/2023
81,1433.91,6/23/2023
60,969.12,6/24/2023
101,1505.02,6/26/2023
80,1403.12,6/27/2023
62,1240.99,6/28/2023
106,2586.89,6/29/2023
96,1790.48,6/30/2023
130,1759.88,7/1/2023
162,3034.21,7/5/2023
81,1320.27,7/6/2023
136,2215.9,7/7/2023
111,2295.33,7/8/2023
125,2536.08,7/10/2023
135,2205.91,7/11/2023
112,3757.45,7/12/2023
149,2490.87,7/13/2023
86,1980.28,7/14/2023
87,1559.72,7/15/2023
128,2397.85,7/17/2023
103,1469.15,7/18/2023
92,1825.86,7/19/2023
114,2170.82,7/20/2023
114,3079.75,7/21/2023
153,2251.7,7/22/2023
151,4004.94,7/24/2023
119,2682.09,7/25/2023
133,2243.01,7/26/2023
92,1589.04,7/27/2023
143,3503.25,7/28/2023
92,1745.97,7/29/2023
113,2436.06,7/31/2023
110,1606.13,8/1/2023
102,1830.29,8/2/2023
95,1455.02,8/3/2023
73,1297.36,8/4/2023
89,1978.6,8/5/2023
90,1603.77,8/7/2023
115,2235.74,8/8/2023
147,2299.55,8/9/2023
87,1832.33,8/10/2023
118,1974.83,8/11/2023
122,2175.97,8/12/2023
124,2550.33,8/14/2023
134,2119.34,8/15/2023
141,2482.6,8/16/2023
112,2094.84,8/17/2023
111,2751.83,8/18/2023
95,1422.16,8/19/2023
105,1891.49,8/21/2023
114,2611.24,8/22/2023
88,1737.66,8/23/2023
99,2297.31,8/24/2023
120,1933.74,8/25/2023
84,1280.73,8/26/2023
127,2182.38,8/28/2023
137,2318.28,8/29/2023
120,2036.03,8/30/2023
139,3208.56,8/31/2023
162,3326.51,9/1/2023
146,2121.99,9/2/2023
174,3278.22,9/5/2023
136,2727.21,9/6/2023
126,2740.22,9/7/2023
105,1602.43,9/8/2023
74,1291.96,9/9/2023
95,1398.84,9/11/2023
105,2232.33,9/12/2023
167,3295.53,9/13/2023
118,2825.03,9/14/2023
143,2934.77,9/15/2023
106,1559.74,9/16/2023
126,2514.38,9/18/2023
157,2253.42,9/19/2023
119,1980.36,9/20/2023
120,2392.92,9/21/2023
117,2276.46,9/22/2023
102,1392.35,9/23/2023
136,2325.13,9/25/2023
167,3310.97,9/26/2023
110,1984.63,9/27/2023
113,1564.48,9/28/2023
100,2080.82,9/29/2023
118,2481.6,9/30/2023
136,1798.69,10/2/2023
63,953.26,10/3/2023
78,905.77,10/4/2023
52,647.66,10/5/2023
150,1991.2,10/6/2023
104,1416.74,10/7/2023
144,2523.53,10/9/2023
123,1908.09,10/10/2023
102,1310.07,10/11/2023
125,2085.53,10/12/2023
142,2514.99,10/13/2023
93,898.64,10/14/2023
168,2358.88,10/16/2023
117,1641.3,10/17/2023
144,2472.16,10/18/2023
132,2335.72,10/19/2023
156,2222.37,10/20/2023
116,1893.44,10/21/2023
137,2284.31,10/23/2023
127,2354.19,10/24/2023
160,2520.05,10/25/2023
121,1588.09,10/26/2023
131,2451.15,10/27/2023
118,1827.88,10/28/2023
123,2074.67,10/30/2023
181,2287.53,10/31/2023
98,1449.26,11/1/2023
7,59.13,11/2/2023
238,4493.79,11/3/2023
125,1581.56,11/4/2023
172,3307.59,11/6/2023
183,2929.18,11/7/2023
146,2481.4,11/8/2023
114,1745.36,11/9/2023
101,1683.84,11/10/2023
100,1740.63,11/11/2023
69,2175.37,11/13/2023
211,3323.79,11/14/2023
132,2126.93,11/15/2023
171,2958.01,11/16/2023
164,3132.18,11/17/2023
113,1516.86,11/18/2023
147,2450.39,11/20/2023
174,2909.29,11/21/2023
175,3001.04,11/22/2023
163,2702.45,11/25/2023
147,2979.51,11/27/2023
140,2474.61,11/28/2023
139,2829.19,11/29/2023
68,1245.98,11/30/2023
105,1537.2,12/1/2023
127,2627.12,12/2/2023
153,3241.97,12/4/2023
142,2170.77,12/5/2023
149,3136.11,12/6/2023
132,2597.72,12/7/2023
130,1666.54,12/8/2023
124,2886.27,12/9/2023
125,2007.68,12/11/2023
179,3187.73,12/12/2023
115,2332.28,12/13/2023
125,2073.02,12/14/2023
114,1770.43,12/15/2023
175,3054.56,12/16/2023
181,3365.75,12/18/2023
113,2426.98,12/19/2023
114,2571.71,12/20/2023
110,1985.9,12/21/2023
103,1835.52,12/22/2023
136,3646.51,12/23/2023
165,2787.31,12/26/2023
132,2165.54,12/27/2023
174,3145.79,12/28/2023
157,4979.24,12/29/2023
98,1424.62,12/30/2023
105,1436.8,1/2/2024
134,2051.07,1/3/2024
124,1732.46,1/4/2024
89,1107.13,1/5/2024
109,1526.04,1/6/2024
81,1796.64,1/8/2024
179,2903.4,1/9/2024
168,2864.25,1/10/2024
207,3876.82,1/11/2024
148,3750.79,1/12/2024
144,2595.8,1/13/2024
7,89.53,1/15/2024
39,672.93,1/16/2024
91,2036.66,1/17/2024
123,1738.31,1/18/2024
119,1976.27,1/19/2024
101,1761.77,1/20/2024
64,1127.91,1/22/2024
119,1954.67,1/23/2024
56,721.26,1/24/2024
140,3749.1,1/25/2024
121,2926.19,1/26/2024
141,3109.2,1/27/2024
163,3026.88,1/29/2024
162,3171.68,1/30/2024
111,1963.99,1/31/2024
110,2288.72,2/1/2024
149,2971.32,2/2/2024
66,1590.94,2/3/2024
170,3606.5,2/5/2024
117,2239.6,2/6/2024
101,2488.79,2/7/2024
99,2111.31,2/8/2024
125,3137.16,2/9/2024
157,4118.24,2/10/2024
136,2444.94,2/12/2024
128,2752.63,2/13/2024
114,2157.96,2/14/2024
141,3033.8,2/15/2024
143,3445.58,2/16/2024
72,1381.58,2/17/2024
177,4752.24,2/19/2024
139,2423.71,2/20/2024
134,2670.47,2/21/2024
126,3243.25,2/22/2024
124,3097.77,2/23/2024
159,3761.65,2/24/2024
150,3998.9,2/26/2024
135,3557.95,2/27/2024
111,2472.99,2/28/2024
111,2665.9,2/29/2024
160,4031.2,3/1/2024
112,1853.48,3/2/2024
128,2697.72,3/4/2024
128,2754.93,3/5/2024
169,3837.81,3/6/2024
132,2714.78,3/7/2024
120,3187.2,3/8/2024
122,2815.88,3/9/2024
141,3141.89,3/11/2024
142,3649.4,3/12/2024
102,2780.59,3/13/2024
120,2967.7,3/14/2024
143,3367.57,3/15/2024
106,2511.15,3/16/2024
172,4985.68,3/18/2024
139,3781.57,3/19/2024
113,2535.57,3/20/2024
43,1194.47,3/21/2024
150,3329.51,3/22/2024
177,3449.87,3/23/2024
120,3055.1,3/25/2024
189,4726.91,3/26/2024
128,2901.52,3/27/2024
146,3308.94,3/28/2024
68,1126.03,3/29/2024
160,3682.41,3/30/2024
148,3479.53,4/1/2024
94,2108.96,4/2/2024
172,3570.18,4/3/2024
165,4225.66,4/4/2024
125,3020.65,4/5/2024
148,3721.9,4/6/2024
166,3570.25,4/8/2024
162,4764.78,4/9/2024
168,3147.74,4/10/2024
99,2664.52,4/11/2024
119,2845.61,4/12/2024
135,3028.66,4/13/2024
168,3351.75,4/15/2024
126,3495.85,4/16/2024
101,2691.7,4/17/2024
110,2453.22,4/18/2024
118,3534.12,4/19/2024
147,2890.65,4/20/2024
121,2646.2,4/22/2024
117,3066.13,4/23/2024
111,3017.19,4/24/2024
126,3055.74,4/25/2024
117,2773.13,4/26/2024
118,3181.42,4/27/2024
128,3689.62,4/29/2024
143,3633.07,4/30/2024
136,3250.24,5/1/2024
46,1319.45,5/2/2024
109,2636.31,5/3/2024
107,2431.95,5/4/2024
158,3726.77,5/6/2024
106,2814.34,5/7/2024
107,1969.16,5/8/2024
128,2655.22,5/9/2024
83,1873.57,5/10/2024
121,2752.8,5/11/2024
97,1812.03,5/13/2024
158,3745.72,5/14/2024
132,2546.09,5/15/2024
131,2452.09,5/16/2024
68,1817.12,5/18/2024
124,2690.38,5/20/2024
106,1960.84,5/21/2024
104,2376.26,5/22/2024
138,3105.23,5/23/2024
98,2249.62,5/24/2024
203,3869.23,5/25/2024
